Year,Date,Event
2018,2018-03-04,Storm Emma
2018,2018-03-03,Storm Emma
2018,2018-03-02,Storm Emma
2018,2018-03-01,Storm Emma
2018,2018-02-28,Storm Emma
2017,2017-10-16,Storm Ophelia
2014,2014-02-12,Storm Darwin
2010,,Coldest winter for almost 50 years
2009,,Coldest winter for almost 50 years
1998,1998-12-26,Hurricane force winds over north and northwest
1997,1997-12-24,Windstorm
1997,1997-08-06,Extensive flooding in southeast and south
1997,1997-08-05,Extensive flooding in southeast and south
1997,1997-08-04,Extensive flooding in southeast and south
1997,1997-08-03,Extensive flooding in southeast and south
1995,,Warmest Summer on record
1986,1986-08-15,Storm Hurricane Charley
1985,1985-07-26,Widespread thunderstorms
1985,1985-07-25,Widespread thunderstorms
1974,1974-01-12,Severe storm caused widespread damage
1974,1974-01-11,Severe storm caused widespread damage
1961,1961-09-16,Storm Hurricane Debbie
